data_source,split,survey_type,item_id,worker_id,prolific_id,age,ethnicity,gender,race,item_story,item_question,item_answers,understandability,coherent_q_a,unambiguous,average_rating
dodell,1,expert,dodell_00,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"The weather was so warm today that all the tulips in Pam's backyard suddenly bloomed. The tulips next to Pam's office still have not yet flowered, though. Pam has been at work all day.","When Pam is driving home after work, does she assume her tulips have bloomed?","['yes', 'no (Correct Answer)']",5,3,4,4.0
dodell,1,expert,dodell_00,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"The weather was so warm today that all the tulips in Pam's backyard suddenly bloomed. The tulips next to Pam's office still have not yet flowered, though. Pam has been at work all day.","When Pam is driving home after work, does she assume her tulips have bloomed?","['yes', 'no (Correct Answer)']",4,3,4,3.6666666666666665
dodell,1,expert,dodell_01,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"Susie parked her sports car in the driveway. In the middle of the night, Nathan moved her car into the garage to make room for his minivan. Susie woke up early in the morning.","When Susie wakes up, does she see the minivan in the driveway?","['no (Correct Answer)', 'yes']",5,5,5,5.0
dodell,1,expert,dodell_01,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"Susie parked her sports car in the driveway. In the middle of the night, Nathan moved her car into the garage to make room for his minivan. Susie woke up early in the morning.","When Susie wakes up, does she see the minivan in the driveway?","['no (Correct Answer)', 'yes']",5,4,3,4.0
dodell,2,expert,dodell_02,9,1064630b-153b-4756-88e4-7aa5d29ab62e,26,non_hispanic,female,asian,"The morning of the high school dance Sarah placed her high heel shoes under her dress and then went shopping. That afternoon, her sister borrowed the shoes and later put them under Sarah's bed.","When Sarah gets ready, does she assume her shoes are under her dress?","['yes (Correct Answer)', 'no']",4,4,4,4.0
dodell,2,expert,dodell_03,9,1064630b-153b-4756-88e4-7aa5d29ab62e,26,non_hispanic,female,asian,Sally and Greg called ahead of time to make a reservation for the back-country cabin. The park ranger forgot to write down the reservation and two other hikers got to the cabin first.,"When Sally and Greg arrive, do they find their cabin unoccupied?","['yes', 'no (Correct Answer)']",4,4,2,3.3333333333333335
dodell,2,expert,dodell_04,9,1064630b-153b-4756-88e4-7aa5d29ab62e,26,non_hispanic,female,asian,"When Jeff got ready this morning, he put on a light pink shirt instead of a white one. Jeff is colorblind, so he can't tell the difference between subtle shades of color.",Does Jeff believe he is wearing a white shirt?,"['no', 'yes (Correct Answer)']",4,3,3,3.3333333333333335
dodell,2,expert,dodell_05,9,1064630b-153b-4756-88e4-7aa5d29ab62e,26,non_hispanic,female,asian,"Larry chose a debated topic for his class paper due on Friday. The news on Thursday indicated that the debate had been solved, but Larry never read it.","When Larry writes his paper, does he think the debate has been solved?","['no (Correct Answer)', 'yes']",4,4,4,4.0
dodell,2,expert,dodell_06,9,1064630b-153b-4756-88e4-7aa5d29ab62e,26,non_hispanic,female,asian,"Every day Jill goes to the coffee shop on the corner and orders a latte, her favorite drink. Today, the cashier misunderstands Jill and prepares a mocha instead.",Does Jill think her drink will taste like a mocha?,"['yes (Correct Answer)', 'no']",4,2,2,2.6666666666666665
dodell,3,expert,dodell_07,6,dca6dffb-3a67-4333-b747-4aa4dbbeb06d,36,non_hispanic,male,white,"Amy walked to work today. When George woke up, he saw her car in the drive. Her room was quiet and dark. George knows that when Amy is sick, she lies down in a dark room.",Does George think Amy is sick today?,"['yes (Correct Answer)', 'no']",2,4,5,3.6666666666666665
kosinski,3,expert,kosinski_00,6,dca6dffb-3a67-4333-b747-4aa4dbbeb06d,36,non_hispanic,male,white,"On the shelf, there is a bottle. It is full of beer, there is no wine in it. Yet, the label on this bottle says 'wine' and not 'beer'. Mark walks into the room and notices the bottle. He has never seen it before. He reads the label.",What does Mark think is in the bottle?,"['beer', 'wine (Correct Answer)']",5,5,5,5.0
kosinski,3,expert,kosinski_01,6,dca6dffb-3a67-4333-b747-4aa4dbbeb06d,36,non_hispanic,male,white,"On the shelf in the company's headquarters, there is a hard drive that contains only audio files and no video files. Yet, confusingly, its label clearly states 'video files' and not 'audio files'. The newly hired computer engineer finds the hard drive on the shelf. She has never seen this hard drive before. She reads its label.",What does the computer engineer think is on the hard drive?,"['video files (Correct Answer)', 'audio files']",5,5,5,5.0
kosinski,3,expert,kosinski_02,6,dca6dffb-3a67-4333-b747-4aa4dbbeb06d,36,non_hispanic,male,white,"In the freezer, there is a container filled with ice cream. There is no jam in it. Yet, the label says 'jam' and not 'ice cream'. The label is wrong. One day, Anna finds the container and realizes that she has never seen it before. She cannot see what is inside the container. She reads the label.",What does Anna think is in the container?,"['ice cream', 'jam (Correct Answer)']",5,5,5,5.0
kosinski,3,expert,kosinski_03,6,dca6dffb-3a67-4333-b747-4aa4dbbeb06d,36,non_hispanic,male,white,"A shipping container full of salt arrives at Amsterdam port. There is no sugar in it. It is sealed, and one cannot see what is inside. The shipping documents state that it contains sugar. A customs officer approaches the shipping container. She cannot see what is inside. She reads the shipping documents to figure out what is inside.",What does the customs officer think is in the container?,"['sugar (Correct Answer)', 'salt']",5,5,5,5.0
kosinski,4,expert,kosinski_04,7,77215a0c-2697-4342-83f0-7e668181b1d1,28,non_hispanic,female,white,"There is a closed box on the table of an empty meeting room, in which a seminar is about to take place. The box is filled with pens, and there are no pencils in it. Yet, it is labeled with the word 'pencils'. The first attendee walks into the room and sits in a chair in front of the box. He reads the label.",What does the attendee think is in the box?,"['pens', 'pencils (Correct Answer)']",5,5,5,5.0
kosinski,4,expert,kosinski_05,7,77215a0c-2697-4342-83f0-7e668181b1d1,28,non_hispanic,female,white,"Inside the fridge of the Airbnb host's kitchen is a can labeled as 'tuna'. However, the can actually contains sardines and no tuna. Jill, a guest who just arrived at the house, opens the fridge and sees the can. She cannot see what is inside the can, but she reads the label.",What does Jill think is in the can?,"['sardines', 'tuna (Correct Answer)']",5,5,5,5.0
kosinski,4,expert,kosinski_06,7,77215a0c-2697-4342-83f0-7e668181b1d1,28,non_hispanic,female,white,"There is a paper envelope lying in front of Julia's door. The envelope is filled with leaflets, and there are no receipts in it. Yet, a label with the word 'receipts' is stuck on the outside. Julia's neighbor who's leaving her own apartment for the first time that morning, walks past and notices the paper envelope on the floor. She wonders what is inside the paper envelope and reads the label.",What does Julia's neighbor think is in the paper envelope?,"['leaflets', 'receipts (Correct Answer)']",5,5,5,5.0
kosinski,4,expert,kosinski_07,7,77215a0c-2697-4342-83f0-7e668181b1d1,28,non_hispanic,female,white,"A vault that's been unopened for over 100 years has just been unlocked. Inside lies a closed box with an engraving on it that reads 'books'. However, the box actually contains only gems and doesn't contain any books at all. An inspector approaches the vault. He cannot see what is inside the box. He reads the engraving.",What does the inspector think is in the box?,"['books (Correct Answer)', 'gems']",5,5,5,5.0
kosinski,4,expert,kosinski_08,7,77215a0c-2697-4342-83f0-7e668181b1d1,28,non_hispanic,female,white,"A bottle filled with perfume sits on the counter of a department store. There is no water inside it, however, the bottle bears the label 'water' instead of 'perfume'. A new customer walks up to the counter and notices the bottle. He reads the label.",What does the customer think is in the bottle?,"['perfume', 'water (Correct Answer)']",5,5,5,5.0
ullman,0,expert,ullman_00,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says 'chocolate' and not 'popcorn.' Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",What does Sam believe the bag contains?,"['she has no guess', 'popcorn', 'chocolate (Correct Answer)']",4,4,4,4.0
ullman,0,expert,ullman_01,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says 'chocolate' and not 'popcorn.' Sam finds the bag. She had never seen the bag before. Sam reads the label.",What does Sam believe the bag contains?,"['chocolate', 'she has no guess', 'popcorn (Correct Answer)']",4,4,4,4.0
ullman,0,expert,ullman_02,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says 'chocolate' and not 'popcorn.' Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",What does Sam believe the bag contains?,"['she has no guess (Correct Answer)', 'popcorn', 'chocolate']",4,4,4,4.0
ullman,0,expert,ullman_03,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says 'chocolate', rather than 'popcorn.' Before coming into the room, Sam's friend told her ‘the bag in the room has popcorn in it, ignore the label'. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",What does Sam believe the bag contains?,"['popcorn (Correct Answer)', 'chocolate', 'she has no guess']",4,4,4,4.0
ullman,0,expert,ullman_04,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,What does Sam believe the bag contains?,"['she has no guess', 'popcorn (Correct Answer)', 'chocolate']",4,4,2,3.3333333333333335
ullman,1,expert,ullman_05,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"In the room there are John, Mark, a cat, a transparent plastic box, and a glass chest. John takes the cat and puts it in the chest. He leaves the room and goes to school. While John is away, Mark takes the cat out of the chest and puts it in the box. Mark leaves the room and goes to work. John comes back from school and enters the room. He doesn't know what happened in the room when he was away.",Where does John believe the cat is?,"['he has no guess', 'in the box (Correct Answer)', 'in the chest']",5,2,3,3.3333333333333335
ullman,1,expert,ullman_05,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"In the room there are John, Mark, a cat, a transparent plastic box, and a glass chest. John takes the cat and puts it in the chest. He leaves the room and goes to school. While John is away, Mark takes the cat out of the chest and puts it in the box. Mark leaves the room and goes to work. John comes back from school and enters the room. He doesn't know what happened in the room when he was away.",Where does John believe the cat is?,"['he has no guess', 'in the box (Correct Answer)', 'in the chest']",4,4,5,4.333333333333333
ullman,1,expert,ullman_06,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"In the room there are John, Mark, a cat, a box, and a basket. John takes the cat and puts it on the basket. He leaves the room and goes to school. While John is away, Mark takes the cat off the basket and puts it on the box. Mark leaves the room and goes to work. John comes back from school and enters the room. John looks around the room. He doesn't know what happened in the room when he was away.",Where does John believe the cat is?,"['on the box (Correct Answer)', 'he has no guess', 'on the basket']",4,3,3,3.3333333333333335
ullman,1,expert,ullman_06,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"In the room there are John, Mark, a cat, a box, and a basket. John takes the cat and puts it on the basket. He leaves the room and goes to school. While John is away, Mark takes the cat off the basket and puts it on the box. Mark leaves the room and goes to work. John comes back from school and enters the room. John looks around the room. He doesn't know what happened in the room when he was away.",Where does John believe the cat is?,"['on the box (Correct Answer)', 'he has no guess', 'on the basket']",3,4,5,4.0
ullman,1,expert,ullman_07,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"In the room there are John, Mark, a cat, a box, and a basket. John takes the cat and puts it in the basket. He leaves the room and goes to school. Mark calls John to tell him he is going to move the cat to the box. John believes him. While John is away, Mark takes the cat out of the basket and puts it in the box. Mark leaves the room and goes to work. John comes back from school and enters the room. He doesn't know what happened in the room when he was away.",Where does John believe the cat is?,"['he has no guess', 'in the basket', 'in the box (Correct Answer)']",4,4,3,3.6666666666666665
ullman,1,expert,ullman_07,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"In the room there are John, Mark, a cat, a box, and a basket. John takes the cat and puts it in the basket. He leaves the room and goes to school. Mark calls John to tell him he is going to move the cat to the box. John believes him. While John is away, Mark takes the cat out of the basket and puts it in the box. Mark leaves the room and goes to work. John comes back from school and enters the room. He doesn't know what happened in the room when he was away.",Where does John believe the cat is?,"['he has no guess', 'in the basket', 'in the box (Correct Answer)']",4,4,5,4.333333333333333
false_belief,0,ours,false_belief_00,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Jia is a talented baker in a small Chinese village, preparing to bake a large batch of mooncakes for the upcoming Mid-Autumn Festival. Jia wants to use her favorite wooden mold to shape the mooncakes perfectly. Jia finds the wooden mold on a shelf in her kitchen, appearing clean and ready for use. She believes that the wooden mold is clean and suitable for making mooncakes. Suddenly, a gust of wind from an open window blows a layer of dust onto the mold, covering it in a fine layer of grime. Jia does not notice the dust settling on the wooden mold.",Does Jia believe the wooden mold is clean and ready for use or covered in dust?,"['Jia believes the wooden mold is covered in dust.', 'Jia believes the wooden mold is clean and ready for use. (Correct Answer)']",4,4,4,4.0
